LOC168
Function name:<clinit>, AVG:1.0, TIME:2530ms
Function name:<init>, AVG:1.0, TIME:81ms
Function name:selectElevator, AVG:NaN, TIME:6ms
Function name:getBestElevator, AVG:NaN, TIME:47ms
Function name:notifyNewFloor, AVG:1.0, TIME:11ms
Function name:motorMoveDown, AVG:1.0, TIME:4ms
Function name:motorMoveUp, AVG:1.0, TIME:2ms
Function name:moveElevator, AVG:NaN, TIME:20ms
Function name:getNextDestination, AVG:1.0, TIME:19ms
Function name:stopElevator, AVG:NaN, TIME:4ms
Function name:motorStop, AVG:1.0, TIME:2ms
Function name:openDoor, AVG:1.0, TIME:5ms
Function name:closeDoor, AVG:1.0, TIME:7ms
Function name:addStop, AVG:NaN, TIME:8ms
Function name:run, AVG:NaN, TIME:4ms
Function name:getDirection, AVG:NaN, TIME:1ms
Function name:getState, AVG:NaN, TIME:1ms
Function name:getFloor, AVG:NaN, TIME:3ms
Function name:getElevatorID, AVG:NaN, TIME:1ms
Function name:getDoorOpen, AVG:NaN, TIME:0ms
Function name:getMotorMoving, AVG:NaN, TIME:1ms
Function name:getStop, AVG:NaN, TIME:2ms
Function name:getNumberOfStops, AVG:NaN, TIME:1ms
Function name:removeAllElevators, AVG:NaN, TIME:0ms
Function name:turnOff, AVG:NaN, TIME:1ms
